number_of_neurons,activation,activation2,cut_off,accuracy,recall,Performance
9,relu,softmax,0.35000000000000003,0.9956645682385081,0.3902091254752852,0.560682264482482
9,relu,softmax,0.4,0.9963178524765411,0.3754752851711027,0.5454069123296323
9,relu,softmax,0.45,0.9967209810421593,0.3564638783269962,0.5251241529229236
9,relu,softmax,0.5,0.9969027488329069,0.3341254752851711,0.5005011895785908
9,relu,softmax,0.55,0.9969747360767672,0.29990494296577946,0.4611031481072605
9,tanh,softmax,0.05,0.9771278529444583,0.655893536121673,0.7849154297693833
9,tanh,softmax,0.1,0.9803924744535268,0.6435361216730038,0.7770267390230293
9,tanh,softmax,0.15000000000000002,0.9815964611070919,0.5993346007604563,0.7442509509940725
9,tanh,softmax,0.2,0.9818106231575765,0.5964828897338403,0.7421094148699121
9,tanh,softmax,0.25,0.9820589791488948,0.5950570342205324,0.7410756071311264
9,tanh,softmax,0.3,0.9824063176005212,0.5917300380228137,0.7385882748860276
9,tanh,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
9,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
9,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
9,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
9,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
10,relu,softmax,0.05,0.973550086924597,0.6820342205323194,0.8021270456528152
10,relu,softmax,0.1,0.9827608547765336,0.6230988593155894,0.7626533777733747
10,relu,softmax,0.15000000000000002,0.9866481659449945,0.5741444866920152,0.7258857912036211
10,relu,softmax,0.2,0.9887591918712004,0.5380228136882129,0.6968578363297006
10,relu,softmax,0.25,0.9901161514179687,0.5142585551330798,0.6769266981488594
10,relu,softmax,0.3,0.9910681827180223,0.4938212927756654,0.6591878780148626
10,relu,softmax,0.35000000000000003,0.9959003264621509,0.10361216730038023,0.18769662341315008
10,relu,softmax,0.4,0.9960658971230298,0.09885931558935361,0.17986688356101374
10,relu,softmax,0.45,0.9961828763943029,0.094106463878327,0.17196765007381729
10,relu,softmax,0.5,0.9962800591735145,0.09173003802281368,0.1679925727616969
10,relu,softmax,0.55,0.9963340496064097,0.08650190114068441,0.15918346523808874
10,tanh,softmax,0.05,0.9654101293250836,0.6943916349809885,0.8077744373401374
10,tanh,softmax,0.1,0.9828274429771044,0.6007604562737643,0.7457039339093426
10,tanh,softmax,0.15000000000000002,0.9831513855744762,0.5855513307984791,0.7339639259764439
10,tanh,softmax,0.2,0.9834087399712771,0.5831749049429658,0.732165563344976
10,tanh,softmax,0.25,0.9836462978760163,0.5803231939163498,0.7299794072238683
10,tanh,softmax,0.3,0.9838514615210184,0.5765209125475285,0.7270199752746964
10,tanh,softmax,0.35000000000000003,0.9842455916811541,0.5722433460076045,0.7237160214105978
10,tanh,softmax,0.4,0.9961990735241715,0.005703422053231939,0.011341909597844762
10,tanh,softmax,0.45,0.9962062722485575,0.005703422053231939,0.011341910064399418
10,tanh,softmax,0.5,0.9962062722485575,0.005703422053231939,0.011341910064399418
10,tanh,softmax,0.55,0.9962116712918471,0.005703422053231939,0.011341910414311008
